loops,interac_r,coms,counts,probs
0,60.0,1,18679,0.3896735162198811
0,60.0,2,7429,0.15498070303536038
0,60.0,3,5378,0.11219359549389799
0,60.0,4,3195,0.06665275894440388
0,60.0,5,2538,0.05294669865442787
0,60.0,6,1453,0.030311880671742987
0,60.0,7,1326,0.027662459580682173
0,60.0,8,997,0.02079899864399708
0,60.0,9,956,0.019943673724835714
0,60.0,10,611,0.012746427453843747
0,60.0,11,325,0.006780014603108376
0,60.0,12,437,0.009116511943256493
0,60.0,13,407,0.008490664441431105
0,60.0,14,320,0.0066757066861374776
0,60.0,15,212,0.004422655679566079
0,60.0,16,168,0.003504746010222176
0,60.0,17,226,0.004714717847084594
0,60.0,18,228,0.004756441013872953
0,60.0,19,128,0.002670282674454991
0,60.0,20,126,0.0026285595076666318
0,60.0,21,180,0.003755085010952331
0,60.0,22,93,0.0019401272556587045
0,60.0,23,111,0.0023156357567539376
0,60.0,24,103,0.0021487430896005005
0,60.0,25,93,0.0019401272556587045
0,60.0,26,87,0.0018149577552936268
0,60.0,27,65,0.0013560029206216753
0,60.0,28,49,0.0010222175863148014
0,60.0,29,93,0.0019401272556587045
0,60.0,30,52,0.0010848023364973401
0,60.0,31,43,0.0008970480859497236
0,60.0,32,35,0.0007301554187962866
0,60.0,33,46,0.0009596328361322625
0,60.0,34,26,0.0005424011682486701
0,60.0,35,48,0.0010013560029206218
0,60.0,36,38,0.0007927401689788255
0,60.0,37,54,0.0011265255032856993
0,60.0,38,35,0.0007301554187962866
0,60.0,39,18,0.0003755085010952331
0,60.0,40,21,0.000438093251277772
0,60.0,41,27,0.0005632627516428497
0,60.0,42,21,0.000438093251277772
0,60.0,43,31,0.0006467090852195681
0,60.0,44,11,0.0002294774173359758
0,60.0,45,12,0.00025033900073015544
0,60.0,46,7,0.00014603108375925734
0,60.0,47,13,0.00027120058412433503
0,60.0,48,9,0.00018775425054761655
0,60.0,49,11,0.0002294774173359758
0,60.0,50,4,8.344633357671847e-05
0,60.0,51,5,0.00010430791697089809
0,60.0,52,1,2.0861583394179617e-05
0,60.0,53,8,0.00016689266715343693
0,60.0,54,15,0.0003129237509126943
0,60.0,55,8,0.00016689266715343693
0,60.0,56,5,0.00010430791697089809
0,60.0,57,5,0.00010430791697089809
0,60.0,58,3,6.258475018253886e-05
0,60.0,59,6,0.00012516950036507772
0,60.0,60,8,0.00016689266715343693
0,60.0,61,2,4.1723166788359233e-05
0,60.0,62,5,0.00010430791697089809
0,60.0,63,4,8.344633357671847e-05
0,60.0,65,4,8.344633357671847e-05
0,60.0,66,3,6.258475018253886e-05
